Split,CaseID
train,1
train,2
train,3
train,4
train,5
train,6
train,7
train,8
train,9
train,10
train,11
train,12
train,13
train,14
train,15
train,16
train,17
train,18
train,28
train,29
train,30
train,31
train,32
train,33
train,34
train,35
train,36
train,37
train,38
train,39
train,40
train,41
train,42
train,43
train,44
train,45
train,55
train,56
train,57
train,58
train,59
train,60
train,61
train,62
train,63
train,64
train,65
train,66
train,67
train,68
train,69
train,70
train,71
train,72
train,82
train,83
train,84
train,85
train,86
train,87
train,88
train,89
train,90
train,91
train,92
train,93
train,94
train,95
train,96
train,97
train,98
train,99
train,109
train,110
train,111
train,112
train,113
train,114
train,115
train,116
train,117
train,118
train,119
train,120
train,121
train,122
train,123
train,124
train,125
train,126
train,136
train,137
train,138
train,139
train,140
train,141
train,142
train,143
train,144
train,145
train,146
train,147
train,148
train,149
train,150
train,151
train,152
train,153
train,163
train,164
train,165
train,166
train,167
train,168
train,169
train,170
train,171
train,172
train,173
train,174
train,175
train,176
train,177
train,178
train,179
train,180
train,190
train,191
train,192
train,193
train,194
train,195
train,196
train,197
train,198
train,199
train,200
train,201
train,202
train,203
train,204
train,205
train,206
train,207
train,217
train,218
train,219
train,220
train,221
train,222
train,223
train,224
train,225
train,226
train,227
train,228
train,229
train,230
train,231
train,232
train,233
train,234
train,244
train,245
train,246
train,247
train,248
train,249
train,250
train,251
train,252
train,253
train,254
train,255
train,256
train,257
train,258
train,259
train,260
train,261
train,271
train,272
train,273
train,274
train,275
train,276
train,277
train,278
train,279
train,280
train,281
train,282
train,283
train,284
train,285
train,286
train,287
train,288
train,298
train,299
train,300
train,301
train,302
train,303
train,304
train,305
train,306
train,307
train,308
train,309
train,310
train,311
train,312
train,313
train,314
train,315
train,325
train,326
train,327
train,328
train,329
train,330
train,331
train,332
train,333
train,334
train,335
train,336
train,337
train,338
train,339
train,340
train,341
train,342
train,352
train,353
train,354
train,355
train,356
train,357
train,358
train,359
train,360
train,361
train,362
train,363
train,364
train,365
train,366
train,367
train,368
train,369
train,379
train,380
train,381
train,382
train,383
train,384
train,385
train,386
train,387
train,388
train,389
train,390
train,391
train,392
train,393
train,394
train,395
train,396
train,406
train,407
train,408
train,409
train,410
train,411
train,412
train,413
train,414
train,415
train,416
train,417
train,418
train,419
train,420
train,421
train,422
train,423
train,433
train,434
train,435
train,436
train,437
train,438
train,439
train,440
train,441
train,442
train,443
train,444
train,445
train,446
train,447
train,448
train,449
train,450
train,460
train,461
train,462
train,463
train,464
train,465
train,466
train,467
train,468
train,469
train,470
train,471
train,472
train,473
train,474
train,475
train,476
train,477
train,487
train,488
train,489
train,490
train,491
train,492
train,493
train,494
train,495
train,496
train,497
train,498
train,499
train,500
train,501
train,502
train,503
train,504
train,514
train,515
train,516
train,517
train,518
train,519
train,520
train,521
train,522
train,523
train,524
train,525
train,526
train,527
train,528
train,529
train,530
train,531
test,19
test,20
test,21
test,22
test,23
test,24
test,25
test,26
test,27
test,46
test,47
test,48
test,49
test,50
test,51
test,52
test,53
test,54
test,73
test,74
test,75
test,76
test,77
test,78
test,79
test,80
test,81
test,100
test,101
test,102
test,103
test,104
test,105
test,106
test,107
test,108
test,127
test,128
test,129
test,130
test,131
test,132
test,133
test,134
test,135
test,154
test,155
test,156
test,157
test,158
test,159
test,160
test,161
test,162
test,181
test,182
test,183
test,184
test,185
test,186
test,187
test,188
test,189
test,208
test,209
test,210
test,211
test,212
test,213
test,214
test,215
test,216
test,235
test,236
test,237
test,238
test,239
test,240
test,241
test,242
test,243
test,262
test,263
test,264
test,265
test,266
test,267
test,268
test,269
test,270
test,289
test,290
test,291
test,292
test,293
test,294
test,295
test,296
test,297
test,316
test,317
test,318
test,319
test,320
test,321
test,322
test,323
test,324
test,343
test,344
test,345
test,346
test,347
test,348
test,349
test,350
test,351
test,370
test,371
test,372
test,373
test,374
test,375
test,376
test,377
test,378
test,397
test,398
test,399
test,400
test,401
test,402
test,403
test,404
test,405
test,424
test,425
test,426
test,427
test,428
test,429
test,430
test,431
test,432
test,451
test,452
test,453
test,454
test,455
test,456
test,457
test,458
test,459
test,478
test,479
test,480
test,481
test,482
test,483
test,484
test,485
test,486
test,505
test,506
test,507
test,508
test,509
test,510
test,511
test,512
test,513
test,532
test,533
test,534
test,535
test,536
test,537
test,538
test,539
test,540
