CaseID,CaseName,EventType,EventSubtype,TargetBus,LoadSwitchPct,FaultType,IsFault,BinaryFaultLabel,RawCsvFile,RawCsvRelativePath,SourceGroup,ScenarioGroup
SSO_Normal_Case01,SSO_Normal_Case01,SSO_Normal,Normal,,,,0,0,SSO_Normal_Case01.csv,raw_waveforms/SSO_Normal_Case01.csv,base_84,Base84
SSO_Normal_Case02,SSO_Normal_Case02,SSO_Normal,Normal,,,,0,0,SSO_Normal_Case02.csv,raw_waveforms/SSO_Normal_Case02.csv,base_84,Base84
SSO_Normal_Case03,SSO_Normal_Case03,SSO_Normal,Normal,,,,0,0,SSO_Normal_Case03.csv,raw_waveforms/SSO_Normal_Case03.csv,base_84,Base84
SSO_LoadSwitch_Bus02,SSO_LoadSwitch_Bus02,SSO_LoadSwitch,LoadSwitch15pct,2,15,,0,0,SSO_LoadSwitch_Bus02.csv,raw_waveforms/SSO_LoadSwitch_Bus02.csv,base_84,Base84
SSO_LoadSwitch_Bus03,SSO_LoadSwitch_Bus03,SSO_LoadSwitch,LoadSwitch15pct,3,15,,0,0,SSO_LoadSwitch_Bus03.csv,raw_waveforms/SSO_LoadSwitch_Bus03.csv,base_84,Base84
SSO_LoadSwitch_Bus04,SSO_LoadSwitch_Bus04,SSO_LoadSwitch,LoadSwitch15pct,4,15,,0,0,SSO_LoadSwitch_Bus04.csv,raw_waveforms/SSO_LoadSwitch_Bus04.csv,base_84,Base84
SSO_LoadSwitch_Bus05,SSO_LoadSwitch_Bus05,SSO_LoadSwitch,LoadSwitch15pct,5,15,,0,0,SSO_LoadSwitch_Bus05.csv,raw_waveforms/SSO_LoadSwitch_Bus05.csv,base_84,Base84
SSO_LoadSwitch_Bus07,SSO_LoadSwitch_Bus07,SSO_LoadSwitch,LoadSwitch15pct,7,15,,0,0,SSO_LoadSwitch_Bus07.csv,raw_waveforms/SSO_LoadSwitch_Bus07.csv,base_84,Base84
SSO_LoadSwitch_Bus08,SSO_LoadSwitch_Bus08,SSO_LoadSwitch,LoadSwitch15pct,8,15,,0,0,SSO_LoadSwitch_Bus08.csv,raw_waveforms/SSO_LoadSwitch_Bus08.csv,base_84,Base84
SSO_LoadSwitch_Bus10,SSO_LoadSwitch_Bus10,SSO_LoadSwitch,LoadSwitch15pct,10,15,,0,0,SSO_LoadSwitch_Bus10.csv,raw_waveforms/SSO_LoadSwitch_Bus10.csv,base_84,Base84
SSO_LoadSwitch_Bus12,SSO_LoadSwitch_Bus12,SSO_LoadSwitch,LoadSwitch15pct,12,15,,0,0,SSO_LoadSwitch_Bus12.csv,raw_waveforms/SSO_LoadSwitch_Bus12.csv,base_84,Base84
SSO_LoadSwitch_Bus14,SSO_LoadSwitch_Bus14,SSO_LoadSwitch,LoadSwitch15pct,14,15,,0,0,SSO_LoadSwitch_Bus14.csv,raw_waveforms/SSO_LoadSwitch_Bus14.csv,base_84,Base84
SSO_LoadSwitch_Bus15,SSO_LoadSwitch_Bus15,SSO_LoadSwitch,LoadSwitch15pct,15,15,,0,0,SSO_LoadSwitch_Bus15.csv,raw_waveforms/SSO_LoadSwitch_Bus15.csv,base_84,Base84
