Bus,LoadSwitchPct,ExistingLoadBlock,LoadAddBlock,ExistingActivePower,ExistingInductivePower,ComputedActivePower,ComputedInductivePower,AppliedActivePower,AppliedInductivePower,AppliedCapacitivePower,NominalVoltage,NominalFrequency,Status,Message
2,5,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load2,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd2,0.217,0.127,0.01085,0.00635,0.01085,0.00635,0,1,50,OK,Applied from existing Load P/QL
3,5,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load3,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd3,0.024,0.012,0.0012,0.0006,0.0012,0.0006,0,1,50,OK,Applied from existing Load P/QL
4,5,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load4,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd4,0.076,0.016,0.0038,0.0008,0.0038,0.0008,0,1,50,OK,Applied from existing Load P/QL
5,5,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load5,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd5,0.942,0.19,0.0471,0.0095,0.0471,0.0095,0,1,50,OK,Applied from existing Load P/QL
7,5,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load7,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd7,0.228,0.109,0.0114,0.00545,0.0114,0.00545,0,1,50,OK,Applied from existing Load P/QL
8,5,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load8,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd8,0.3,0.3,0.015,0.015,0.015,0.015,0,1,50,OK,Applied from existing Load P/QL
10,5,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load10,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd10,0.058,0.02,0.0029,0.001,0.0029,0.001,0,1,50,OK,Applied from existing Load P/QL
12,5,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load12,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd12,0.112,0.075,0.0056,0.00375,0.0056,0.00375,0,1,50,OK,Applied from existing Load P/QL
14,5,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load14,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd14,0.062,0.016,0.0031,0.0008,0.0031,0.0008,0,1,50,OK,Applied from existing Load P/QL
15,5,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load15,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd15,0.082,0.025,0.0041,0.00125,0.0041,0.00125,0,1,50,OK,Applied from existing Load P/QL
16,5,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load16,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd16,0.035,0.018,0.00175,0.0009,0.00175,0.0009,0,1,50,OK,Applied from existing Load P/QL
17,5,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load17,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd17,0.09,0.058,0.0045,0.0029,0.0045,0.0029,0,1,50,OK,Applied from existing Load P/QL
18,5,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load18,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd18,0.032,0.009,0.0016,0.00045,0.0016,0.00045,0,1,50,OK,Applied from existing Load P/QL
19,5,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load19,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd19,0.095,0.034,0.00475,0.0017,0.00475,0.0017,0,1,50,OK,Applied from existing Load P/QL
20,5,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load20,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd20,0.022,0.007,0.0011,0.00035,0.0011,0.00035,0,1,50,OK,Applied from existing Load P/QL
21,5,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load21,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd21,0.175,0.112,0.00875,0.0056,0.00875,0.0056,0,1,50,OK,Applied from existing Load P/QL
23,5,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load23,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd23,0.032,0.016,0.0016,0.0008,0.0016,0.0008,0,1,50,OK,Applied from existing Load P/QL
24,5,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load24,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd24,0.087,0.067,0.00435,0.00335,0.00435,0.00335,0,1,50,OK,Applied from existing Load P/QL
26,5,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load26,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd26,0.035,0.023,0.00175,0.00115,0.00175,0.00115,0,1,50,OK,Applied from existing Load P/QL
29,5,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load29,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd29,0.024,0.009,0.0012,0.00045,0.0012,0.00045,0,1,50,OK,Applied from existing Load P/QL
30,5,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/Load30,Thirtybussys_WMU_IBR_batch_loadswitch_variation_work/LoadAdd30,0.106,0.019,0.0053,0.00095,0.0053,0.00095,0,1,50,OK,Applied from existing Load P/QL
